00006 Pedro Lopez      8745.33 3998.99 14
00007 Ana Gonzalez     3589.47 1509.36 84
00008 Carmen Perez     6892.14 2345.67 51
00009 Jose Sanchez     2234.78 1200.99 31
00010 Marta Ramirez    4567.23 2100.50 29
00011 Jorge Torres     5789.66 3056.45 63
00012 Lucia Rivera     3123.45 1456.89 37
00013 David Gomez      9054.23 4567.89 19
00014 Laura Diaz       7896.21 3589.74 23
00015 Miguel Cruz      6678.32 2543.21 91
00016 Carlos Garcia    2345.67 1203.45 22
00017 Maria Lopez      5421.89 2987.56 48
00018 Juan Martinez    7892.45 3200.78 65
00019 Luis Sanchez     1234.67 789.12 47
00020 Sofia Gonzalez   6789.56 2345.89 13
00021 Pedro Perez      4567.89 2001.34 71
00022 Ana Torres       3698.45 1890.23 52
00023 Carmen Rivera    5897.23 2890.45 36
00024 Jose Gomez       4789.67 1999.78 55
00025 Marta Diaz       3124.45 1578.34 28
00026 Jorge Cruz       6321.89 2987.45 64
00027 Lucia Martinez   7890.21 3201.56 19
00028 David Hernandez  3456.78 1345.67 73
00029 Laura Rodriguez  8765.32 4000.00 27
00030 Miguel Flores    9123.45 3897.56 32
00031 Carlos Gonzalez  2345.67 1456.78 84
00032 Maria Perez      4567.89 1789.45 61
00033 Juan Ramirez     7892.23 2987.89 54
00034 Luis Rivera      1234.45 789.23 22
00035 Sofia Diaz       6789.56 2345.67 43
00036 Pedro Cruz       4567.78 2000.00 18
00037 Ana Gomez        3698.23 1890.56 39
00038 Carmen Martinez  5897.12 2890.78 66
00039 Jose Hernandez   4789.56 1999.89 12
00040 Marta Lopez      3124.23 1578.45 35
00041 Jorge Sanchez    6321.45 2987.78 41
00042 Lucia Torres     7890.45 3201.78 24
00043 David Garcia     3456.23 1345.89 77
00044 Laura Cruz       8765.21 4000.56 29
00045 Miguel Ramirez   9123.34 3897.78 55
00046 Carlos Rivera    2345.45 1456.89 17
00047 Maria Gonzalez   4567.78 1789.67 49
00048 Juan Hernandez   7892.34 2987.99 68
00049 Luis Perez       1234.23 789.34 20
00050 Sofia Ramirez    6789.45 2345.78 46
00051 Pedro Rivera     4567.67 2000.12 38
00052 Ana Torres       3698.45 1890.78 44
00053 Carmen Gomez     5897.23 2890.89 53
00054 Jose Martinez    4789.67 1999.99 62
00055 Marta Gonzalez   3124.45 1578.67 33
00056 Jorge Diaz       6321.89 2987.89 21
00057 Lucia Lopez      7890.78 3201.99 27
00058 David Martinez   3456.56 1345.99 50
00059 Laura Hernandez  8765.45 4000.78 60
00060 Miguel Rodrigue  9123.78 3897.89 16
00061 Carlos Cruz      2345.67 1456.99 25
00062 Maria Gomez      4567.89 1789.89 31
00063 Juan Rivera      7892.56 2987.12 41
00064 Luis Ramirez     1234.78 789.45 14
00065 Sofia Sanchez    6789.67 2345.99 22
00066 Pedro Diaz       4567.99 2000.23 73
00067 Ana Garcia       3698.67 1890.99 20
00068 Carmen Hernande  5897.45 2890.12 39
00069 Jose Cruz        4789.89 1999.12 42
00070 Marta Rodriguez  3124.67 1578.99 37
00071 Jorge Gomez      6321.23 2987.12 48
00072 Lucia Martinez   7890.99 3201.12 18
00073 David Lopez      3456.99 1345.12 64
00074 Laura Perez      8765.67 4000.12 69
00075 Miguel Sanchez   9123.99 3897.12 15
00076 Carlos Diaz      2345.12 1456.12 34
00077 Maria Torres     4567.12 1789.12 56
00078 Juan Martinez    7892.12 2987.34 71
00079 Luis Gomez       1234.99 789.12 24
00080 Sofia Lopez      6789.12 2345.34 40
00081 Pedro Rodriguez  4567.34 2000.34 67
00082 Ana Martinez     3698.12 1890.34 52
00083 Carmen Cruz      5897.67 2890.34 26
00084 Jose Diaz        4789.12 1999.34 44
00085 Marta Perez      3124.12 1578.34 63
00086 Jorge Ramirez    6321.34 2987.34 53
00087 Lucia Hernandez  7890.34 3201.34 25
00088 David Torres     3456.34 1345.34 32
00089 Laura Gomez      8765.34 4000.34 71
00090 Miguel Martinez  9123.34 3897.34 19
00091 Carlos Lopez     2345.34 1456.34 59
00092 Maria Sanchez    4567.34 1789.34 45
00093 Juan Ramirez     7892.34 2987.34 51
00094 Luis Rivera      1234.34 789.34 20
00095 Sofia Gomez      6789.34 2345.34 62
00096 Pedro Cruz       4567.34 2000.34 18
00097 Ana Hernandez    3698.34 1890.34 55
00098 Carmen Martinez  5897.34 2890.34 16
00099 Jose Rodriguez   4789.34 1999.34 41
00100 Marta Lopez      3124.34 1578.34 28
ZZZZZ zzzzzzzzzzzzzzz  0000000 0000000 00
